LEA,LEADescription,NumberOfStudentsTakingVoluntaryUnivACT,ParticipatedInRemediation,NumberOfStudentsInCCRPP,NumberOfStudentsTestedInGrades9Thru11,NumberOfStudentsTestedInGrade12,AvgReading,AvgEnglish,AvgMath,AvgScience,AvgComposite,NumberOfStudentsTested,CriticalReadingMean,MathMean,WritingMean,NumberOfStudentsTakingAPCourses,NumberOfAPExamsTaken,NumberOfAPExamsScored3OrAbove,NumberOfStudentsTakingIBCourses,OverallCollegeGoingRate,AfricanAmericanCollegeGoingRate,CaucasianCollegeGoingRate,HispanicCollegeGoingRate,SPEDCollegeGoingRate,EconDisadCollegeGoingRate,LEPCollegeGoingRate,OverallCCAR,AfricanAmericanCCAR,CaucasianCCAR,HispanicCCAR,SPEDCCAR,EconDisadCCAR,LEPCCAR
4304703,Academic Center For Excellence,,,,4,4,21.00,24.00,23.50,21.00,22.50,1,RV,RV,RV,3,2,,,0,RV,,,,,,,RV,,,,,
4401003,Huntsville High School,,,,75,88,21.45,20.44,21.69,22.22,21.61,0,RV,RV,RV,32,56,26,,42.7,RV,,,,,,,RV,,,,,
4401012,St. Paul High School,,,,8,7,24.43,22.86,21.71,22.14,22.86,0,RV,RV,RV,10,11,4,,18.2,RV,,RV,,,,,RV,,RV,,,
4501002,Flippin High School,,,,34,34,24.62,22.44,20.68,22.24,22.59,2,RV,RV,RV,30,34,7,,54,RV,,RV,,,,,RV,,RV,,,
4502006,Yellville-Summit High School,,,,19,44,20.64,18.61,19.00,20.05,19.75,1,RV,RV,RV,46,78,22,,43.7,RV,,RV,,,,,RV,,RV,,,
4602006,Genoa Central High School,70,,,89,60,18.20,17.02,18.43,19.22,18.40,0,RV,RV,RV,29,59,6,,53.2,RV,,RV,,,,,RV,,RV,,,
4603010,Fouke High School,63,,,81,63,20.94,18.56,19.38,19.51,19.71,1,RV,RV,RV,52,64,6,,36.7,RV,,RV,,,,,RV,,RV,,,
4605026,Arkansas High School,,,,139,149,20.69,19.40,19.54,20.51,20.15,4,RV,RV,RV,296,494,88,,40.1,,,,,,,,,,,,,
4605703,Washington Academy,,,,3,2,10.00,12.00,17.00,15.50,13.50,0,RV,RV,RV,,0,,,4.3,,,RV,,,,,,,RV,,,
4701002,Armorel High School,,,,32,33,21.67,21.30,21.52,22.52,21.97,2,RV,RV,RV,15,19,4,,75,,,RV,,,,,,,RV,,,
4702706,Blytheville High School-A New Tech School,,,,98,107,17.35,15.65,16.62,17.71,17.01,2,RV,RV,RV,93,162,4,,47.7,,,,,,,,,,,,,
4706066,Rivercrest High School,,,,63,71,20.11,17.86,18.75,19.63,19.30,0,RV,RV,RV,80,124,8,,58.3,,,,,,,,,,,,,
4708031,Gosnell High School,,,,74,50,19.18,17.94,19.70,19.38,19.24,0,RV,RV,RV,39,43,2,,64.9,,,,,,,,,,,,,
4712044,Manila High School,,,,51,45,21.53,19.98,19.87,20.51,20.67,1,RV,RV,RV,51,77,1,,57.4,RV,,,,,,,RV,,,,,
4713051,Osceola High School,,,,41,56,17.05,15.89,17.30,18.02,17.20,0,RV,RV,RV,29,52,2,,46.3,,,RV,,,,,,,RV,,,
4801003,Brinkley High School,,,,42,31,18.77,17.10,17.03,17.68,17.87,1,RV,RV,RV,37,61,2,,51.3,,,RV,,,,,,,RV,,,
4802010,Clarendon High School,,,,24,40,17.85,16.23,17.48,17.65,17.55,0,RV,RV,RV,34,54,3,,55,,,,,,,,,,,,,
4901003,Caddo Hills High School,,,,27,26,19.42,18.81,18.88,19.12,19.27,0,RV,RV,RV,13,9,0,,55,RV,,,,,,,RV,,,,,
4902007,Mount Ida High School,39,,,48,35,18.97,18.86,19.20,19.17,19.23,1,RV,RV,RV,,0,,,53.1,RV,,RV,,,,,RV,,RV,,,
5006024,Prescott High School,66,,,78,65,18.48,16.42,17.97,17.78,17.85,1,RV,RV,RV,23,23,2,,72.7,,,,,,,,,,,,,
5008014,Nevada High  School,33,,,37,18,16.28,15.11,16.61,17.28,16.44,0,RV,RV,RV,14,13,1,,56,,,RV,,,,,,,RV,,,
5102006,Jasper High School,,,,29,22,22.09,21.00,19.55,20.27,20.86,0,RV,RV,RV,33,31,4,,66.7,RV,,RV,,,,,RV,,RV,,,
5102008,Kingston High School,,,,10,15,21.47,20.20,20.13,21.53,21.07,0,RV,RV,RV,13,12,0,,50,RV,,RV,,,,,RV,,RV,,,
5102024,Oark High School,,,,6,9,22.78,19.33,18.44,20.11,20.22,2,RV,RV,RV,5,6,,,30,RV,,RV,,,,,RV,,RV,,,
5106002,Deer High School,,,,10,10,19.50,16.60,17.40,18.90,18.10,0,RV,RV,RV,7,6,0,,68.4,RV,,RV,,,,,RV,,RV,,,
5106010,Mount Judea High School,,,,2,9,20.33,18.78,18.00,20.67,19.78,0,RV,RV,RV,7,9,0,,77.8,RV,,RV,,,,,RV,,RV,,,
5201002,Bearden High School,41,,,52,44,16.59,15.20,16.89,17.32,16.68,0,RV,RV,RV,41,66,0,,54.5,,,RV,,,,,,,RV,,,
5204023,Camden Fairview High School,,,,108,110,19.28,17.73,18.48,19.26,18.81,5,RV,RV,RV,167,252,19,,60.6,,,,,,,,,,,,,
5205012,Sparkman High School,11,,,17,17,20.94,17.94,18.53,19.41,19.35,0,RV,RV,RV,8,20,2,,72.2,,,RV,,,,,,,RV,,,
5205029,Harmony Grove High School,43,,,67,53,19.51,18.15,18.23,19.40,19.04,7,RV,RV,RV,60,95,25,,81.4,,,,,,,,,,,,,
5206033,Stephens High School,,,,,,,,,,,0,RV,RV,RV,,2,,,52.4,RV,RV,RV,,,,,RV,RV,RV,,,
5301002,Bigelow High School,,,,43,22,21.95,18.91,19.14,19.68,20.09,1,RV,RV,RV,26,30,2,,56.3,,,,,,,,,,,,,
5303011,Perryville High School,64,,,77,69,21.55,19.67,19.38,20.43,20.45,0,RV,RV,RV,35,48,12,,68.8,RV,,RV,,,,,RV,,RV,,,
5401003,Barton High School,46,,,59,49,19.53,17.90,16.90,18.27,18.27,1,RV,RV,RV,51,84,0,,58.5,,,RV,,,,,,,RV,,,
5403019,Central High School,88,,,91,107,15.88,13.97,16.03,17.16,15.89,0,RV,RV,RV,86,120,3,,55.1,,,RV,,,,,,,RV,,,
5404032,Marvell-Elaine High School,18,,,19,33,15.70,13.24,16.33,16.39,15.61,0,RV,RV,RV,30,41,0,,36.8,,,RV,,,,,,,RV,,,
5440703,Kipp:delta Collegiate High Sch,55,,,62,39,18.77,18.51,19.62,19.00,19.13,0,RV,RV,RV,37,57,8,,71.1,,RV,RV,,,,,,RV,RV,,,
5440703,Kipp:delta Collegiate High Sch,55,,,62,39,18.77,18.51,19.62,19.00,19.13,0,RV,RV,RV,37,57,8,,73,,RV,RV,,,,,,RV,RV,,,
5502010,Centerpoint High School,,,,66,47,21.38,20.11,19.83,21.87,20.94,0,RV,RV,RV,80,127,32,,56.5,RV,,,,,,,RV,,,,,
5503011,Kirby High School,,,,32,25,20.96,19.88,19.36,20.76,20.36,0,RV,RV,RV,,3,,,52.8,RV,,,,,,,RV,,,,,
5504015,Murfreesboro High School,,,,41,42,20.83,19.57,18.05,19.64,19.76,0,RV,RV,RV,30,36,2,,50,,,,,,,,,,,,,
5602007,Harrisburg High School,,,,83,68,18.46,17.41,18.16,18.32,18.29,0,RV,RV,RV,43,72,4,,56.6,RV,,RV,,,,,RV,,RV,,,
5604017,Marked Tree High School,,,,38,22,20.32,18.27,18.73,19.23,19.18,1,RV,RV,RV,73,96,1,,56.3,,,RV,,,,,,,RV,,,
5605023,Trumann High School,,,,51,66,18.50,17.92,19.24,19.55,18.92,1,RV,RV,RV,67,115,1,,60.5,,,,,,,,,,,,,
5608037,East Poinsett Co. High School,,,,46,37,19.41,18.76,18.92,18.51,19.16,0,RV,RV,RV,44,66,1,28,58,,,,,,,,,,,,,
5703012,Mena High School,,,,95,115,22.31,20.90,20.69,21.38,21.50,3,RV,RV,RV,68,79,10,,64.5,RV,,,,,,,RV,,,,,
5706002,Acorn High School,,,,26,24,23.42,22.79,22.67,23.21,23.21,4,RV,RV,RV,28,48,4,,41.4,RV,,,,,,,RV,,,,,
5706011,Oden High School,,,,21,12,22.08,20.50,20.50,21.67,21.42,2,RV,RV,RV,24,29,3,,36.4,RV,,RV,,,,,RV,,RV,,,
5707017,Umpire High School,10,,,14,2,20.00,16.50,19.00,17.50,18.50,1,RV,RV,RV,,0,,,72.7,RV,,,,,,,RV,,,,,
5707023,Cossatot River High School,63,,,77,61,21.33,19.23,19.43,20.21,20.23,1,RV,RV,RV,42,40,1,18,42.3,RV,,,,,,,RV,,,,,
5801002,Atkins High School,,,,51,36,22.11,20.17,19.97,21.69,21.22,2,RV,RV,RV,71,136,29,,60.3,RV,,RV,,,,,RV,,RV,,,
5802006,Dover High School,,,,81,67,23.55,21.61,20.42,21.70,21.96,2,RV,RV,RV,141,224,38,,74.7,RV,,,,,,,RV,,,,,
5803010,Hector High School,49,,,55,34,19.15,16.91,17.15,18.50,18.12,0,RV,RV,RV,1,1,,,63.4,RV,,RV,,,,,RV,,RV,,,
5804014,Pottsville High School,,,,117,65,22.49,21.55,19.83,21.43,21.45,0,RV,RV,RV,49,70,31,,66,RV,,,,,,,RV,,,,,
5805023,Russellville Jr. High School,,,,,,,,,,,,RV,RV,RV,16,,,,,,,,,,,,,,,,,
5805024,Russellville High School,,,,251,277,22.62,21.21,21.41,22.17,22.01,9,RV,RV,RV,348,767,384,,61,,,,,,,,,,,,,
5901002,Des Arc High School,,,,24,33,21.30,20.18,18.76,20.42,20.33,1,RV,RV,RV,22,33,0,,56.5,,,RV,,,,,,,RV,,,
5903012,Hazen High School,,,,34,41,20.37,17.46,19.54,19.76,19.46,1,RV,RV,RV,27,54,2,,53.7,,,RV,,,,,,,RV,,,
6001001,Central High School,540,,,705,522,23.38,22.53,21.77,22.95,22.84,67,631.00,642.00,628.00,848,2183,1340,,62.5,,,,,,,,,,,,,
6001002,Hall High School,228,,,246,172,16.02,14.15,16.19,16.20,15.80,1,RV,RV,RV,183,312,27,,51.6,,,,,,,,,,,,,
6001005,Parkview Magnet High School,232,,,272,214,20.56,19.86,19.35,20.43,20.21,21,531.00,508.00,542.00,414,748,168,,69.4,,,,,,,,,,,,,
6001063,J.A. Fair High School,147,,,154,122,16.18,13.74,15.94,16.85,15.80,0,RV,RV,RV,195,272,2,,49.2,,,,,,,,,,,,,
6001064,McClellan Magnet High School,162,,,154,143,15.41,14.00,16.23,16.42,15.66,4,RV,RV,RV,210,364,7,,50,,,,,,,,,,,,,
6001068,Accelerated Learning Program,13,,,11,,,,,,,,RV,RV,RV,,,,,0,RV,RV,RV,,,,,RV,RV,RV,,,
6001070,W.D. Hamilton Learning Academy,8,,,8,,,,,,,,RV,RV,RV,,,,,,RV,RV,RV,,,,,RV,RV,RV,,,
6002080,North Little Rock Academy,18,,,7,1,13.00,10.00,14.00,9.00,12.00,,RV,RV,RV,,,,,0,,RV,RV,,,,,,RV,RV,,,
6002082,North Little Rock High School,,,,657,330,21.00,19.89,19.58,20.49,20.40,16,564.00,544.00,549.00,436,519,86,284,49.1,,,,,,,,,,,,,
6003123,Jacksonville High School,,,,83,141,18.87,17.01,17.52,17.89,17.99,2,RV,RV,RV,140,174,19,,53.5,,,,,,,,,,,,,
6003125,Wilbur D. Mills High School,,,,59,104,20.81,19.29,19.29,20.52,20.17,9,RV,RV,RV,161,471,116,,54.9,,,,,,,,,,,,,
6003127,Joe T. Robinson High School,,,,47,65,19.11,17.82,18.45,19.20,18.82,0,RV,RV,RV,107,146,16,,57.3,,,,,,,,,,,,,
6003128,Sylvan Hills High School,,,,92,120,20.51,19.71,19.39,19.68,19.98,4,RV,RV,RV,140,221,79,,60.7,,,,,,,,,,,,,
6003136,North Pulaski High School,,,,57,109,19.80,18.31,18.56,19.59,19.24,3,RV,RV,RV,135,233,44,,52.6,,,,,,,,,,,,,
6003151,Maumelle High School,,,,191,206,20.68,19.83,19.38,20.20,20.16,5,RV,RV,RV,208,384,94,,45.2,,,,,,,,,,,,,
6040703,Academics Plus  High              ,,,,35,29,22.48,21.59,19.41,20.69,21.21,3,RV,RV,RV,57,70,22,,75.8,,,,,,,,,,,,,
6041703,Lisa Academy High             ,67,,,85,40,21.30,20.85,19.90,20.75,20.88,11,504.00,515.00,528.00,125,294,69,,67.6,,,,,,,,,,,,,
6041706,Lisa Academy North High Charter School,,,,,,,,,,,,RV,RV,RV,42,90,31,,83.8,,,,,,,,,,,,,
6047703,Estem High Charter            ,,,,114,112,21.04,20.62,19.41,20.77,20.59,12,510.00,491.00,471.00,243,489,142,,70.9,,,,,,,,,,,,,
6048703,Lisa Academy-Nlr High School  ,23,,,24,,,,,,,1,RV,RV,RV,,89,31,,,RV,RV,RV,,,,,RV,RV,RV,,,
6050703,College Prep Academy          ,,,,,,,,,,,,RV,RV,RV,45,,,,0,,,,,,,,,,,,,
6050705,Flightline Upper Academy      ,,,,52,,,,,,,0,RV,RV,RV,,75,5,,,,,,,,,,,,,,,
6052703,Siatech High Charter          ,,,,1,1,21.00,19.00,18.00,19.00,19.00,,RV,RV,RV,,,,,,,,RV,,,,,,,RV,,,
6053703,Premier High School OF Little Rock,,,,3,3,17.67,17.67,16.33,15.67,17.00,0,RV,RV,RV,,3,,,22.2,,,RV,,,,,,,RV,,,
6091002,Ark. School For The Blind H.S.,,,,5,3,20.67,18.33,17.33,14.67,18.00,0,RV,RV,RV,1,1,,,100,,,RV,,,,,,,RV,,,
6092002,Ark. School For The Deaf H.S.,,,,5,3,11.33,10.67,14.67,14.33,13.00,,RV,RV,RV,,,,,25,,,RV,,,,,,,RV,,,
6094001,Arkansas Consolidated High School-Alexander,,,,1,,,,,,,,RV,RV,RV,,,,,9.1,,,RV,,,,,,,RV,,,
6102006,Maynard High School,,,,9,18,21.28,19.61,19.06,20.94,20.33,1,RV,RV,RV,34,52,0,,40,RV,,RV,,,,,RV,,RV,,,
6103010,Pocahontas High School,127,,,153,119,20.74,20.03,19.84,20.71,20.50,3,RV,RV,RV,152,239,56,,59.1,RV,,RV,,,,,RV,,RV,,,
6201011,Forrest City High School,,,,85,122,17.86,16.84,17.49,18.08,17.70,1,RV,RV,RV,74,85,4,,54.3,,,RV,,,,,,,RV,,,
6202024,Hughes High School,19,,,20,13,17.38,16.23,17.00,17.77,17.31,0,RV,RV,RV,23,24,0,,17.9,,,RV,,,,,,,RV,,,
6205028,Palestine-Wheatley Senior High,,,,41,34,18.44,18.00,18.94,19.00,18.76,1,RV,RV,RV,,1,,,53.2,,,,,,,,,,,,,
6301002,Bauxite High School,,,,87,84,21.81,20.05,19.80,21.64,20.94,0,RV,RV,RV,104,170,19,,67.3,,,,,,,,,,,,,
6301703,Miner Academy,,,,,,,,,,,,RV,RV,RV,5,,,,,RV,,RV,,,,,RV,,RV,,,
6302012,Benton High School,,,,306,248,23.33,23.21,22.40,22.64,23.07,12,620.00,602.00,589.00,232,428,202,,57,,,,,,,,,,,,,
6303022,Bryant High School,589,,,809,568,22.05,21.48,20.73,21.54,21.61,28,573.00,545.00,556.00,697,1223,416,,66.8,,,,,,,,,,,,,
6304030,Harmony Grove High School,,,,64,69,22.20,21.30,20.52,21.17,21.49,6,RV,RV,RV,29,24,3,,64.4,RV,,,,,,,RV,,,,,
6401003,Waldron High School,,,,55,66,21.58,20.18,20.00,20.88,20.76,0,RV,RV,RV,72,91,8,,49.5,RV,,,,,,,RV,,,,,
6502006,Marshall High School,,,,40,52,24.37,22.00,21.81,22.40,22.85,0,RV,RV,RV,25,25,12,,57.6,RV,,,,,,,RV,,,,,
6505010,St. Joe High School,,,,11,12,18.25,17.50,16.92,18.50,18.00,0,RV,RV,RV,8,8,0,,33.3,RV,,RV,,,,,RV,,RV,,,
6505011,Bruno-Pyatt High School,,,,7,8,19.88,18.13,19.13,18.75,19.13,0,RV,RV,RV,,1,,,33.3,RV,,RV,,,,,RV,,RV,,,
6505014,Western Grove High School,,,,17,9,20.00,19.67,18.22,19.44,19.22,,RV,RV,RV,,,,,68.4,RV,,RV,,,,,RV,,RV,,,
6601024,Northside High School,,,,232,287,19.83,18.21,18.94,20.09,19.41,7,RV,RV,RV,374,683,223,,42.7,,,,,,,,,,,,,
6601025,Southside High School,,,,386,391,24.18,23.34,22.27,23.03,23.36,34,542.00,570.00,524.00,490,1043,559,,60.6,,,,,,,,,,,,,
6602043,Greenwood High School,,,,339,228,23.91,23.06,23.64,23.58,23.69,12,598.00,595.00,551.00,236,370,216,,62.1,RV,,,,,,,RV,,,,,
6603048,Hackett High School,,,,16,29,22.03,20.07,20.17,21.24,21.10,1,RV,RV,RV,25,32,1,,28.3,RV,,RV,,,,,RV,,RV,,,
6604052,Hartford High School,18,,,23,19,22.47,19.11,19.58,21.47,20.79,2,RV,RV,RV,10,11,1,,30,RV,,RV,,,,,RV,,RV,,,
6605057,Lavaca High School,,,,57,43,22.12,19.70,20.70,20.42,20.93,0,RV,RV,RV,41,63,7,,63.2,RV,,RV,,,,,RV,,RV,,,
6606062,Mansfield High School,,,,38,52,22.77,20.58,20.21,21.15,21.29,3,RV,RV,RV,33,49,11,,40.4,RV,,RV,,,,,RV,,RV,,,
6701003,Dequeen High School,171,,,225,135,19.76,18.47,18.95,19.57,19.36,18,413.00,475.00,420.00,43,59,16,,57.1,,,,,,,,,,,,,
6703013,Horatio High School,,,,55,40,20.70,18.63,19.73,19.50,19.78,0,RV,RV,RV,52,96,6,,57.6,RV,,,,,,,RV,,,,,
6802002,Cave City High School,77,,,109,82,20.89,19.50,19.05,20.48,20.12,0,RV,RV,RV,49,72,4,,66.7,RV,,RV,,,,,RV,,RV,,,
6804010,Highland High School,98,,,113,87,19.40,19.33,18.99,20.32,19.69,2,RV,RV,RV,66,94,14,,64.6,RV,,RV,,,,,RV,,RV,,,
6901007,Mountain View High School,,,,74,70,23.31,21.81,20.84,21.59,22.07,0,RV,RV,RV,47,57,10,,76.3,RV,,RV,,,,,RV,,RV,,,
6901012,Rural Special High School,,,,9,6,20.00,21.17,20.33,22.17,21.17,0,RV,RV,RV,,0,,,26.7,RV,,RV,,,,,RV,,RV,,,
6901016,Timbo High School,,,,1,4,16.75,15.50,17.75,18.00,17.25,,RV,RV,RV,,,,,43.8,RV,,RV,,,,,RV,,RV,,,
7001012,El Dorado High School,,,,185,204,21.15,20.46,20.37,21.00,20.88,13,590.00,594.00,585.00,366,683,160,,62.2,,,,,,,,,,,,,
7003028,Junction City High School,,,,39,44,19.07,17.34,17.66,18.25,18.27,0,RV,RV,RV,38,55,1,,40,,,RV,,,,,,,RV,,,
7006036,Norphlet High School,,,,,,,,,,,0,RV,RV,RV,,25,3,,,RV,RV,RV,,,,,RV,RV,RV,,,
7007040,Parkers Chapel High School,,,,44,45,21.51,18.91,20.49,20.56,20.51,1,RV,RV,RV,63,81,14,,42.9,,,RV,,,,,,,RV,,,
7008036,Norphlet High School,,,,12,16,20.81,20.31,20.38,20.50,20.69,,RV,RV,RV,14,,,,0,,,RV,,,,,,,RV,,,
7008045,Smackover High School,79,,,87,60,19.72,17.80,18.78,19.52,19.22,8,RV,RV,RV,60,90,5,,39.2,,,RV,,,,,,,RV,,,
7009049,Strong High School,,,,10,21,16.43,14.90,15.52,17.05,16.05,0,RV,RV,RV,20,19,4,,50,,,,,,,,,,,,,
7102006,Clinton High School,,,,53,64,23.95,21.72,20.58,22.06,22.23,1,RV,RV,RV,40,45,7,,55.3,RV,,RV,,,,,RV,,RV,,,
7104015,Shirley High School,,,,20,22,20.41,19.41,19.14,20.82,20.09,0,RV,RV,RV,13,13,0,,54.8,RV,,RV,,,,,RV,,RV,,,
7105019,South Side High School,37,,,37,39,18.95,18.33,18.77,19.33,18.90,1,RV,RV,RV,39,34,2,,44.4,RV,,RV,,,,,RV,,RV,,,
7201002,Elkins High School,,,,49,39,22.90,21.36,21.44,22.21,22.08,3,RV,RV,RV,47,77,15,,41.6,RV,,,,,,,RV,,,,,
7202006,Farmington High School,,,,158,124,22.84,21.98,20.78,21.90,22.07,4,RV,RV,RV,179,296,104,24,56.9,,,,,,,,,,,,,
7203020,Fayetteville High School East,,,,514,469,25.13,24.35,23.43,23.82,24.34,,RV,RV,RV,,,,,61.1,,,,,,,,,,,,,
7204028,Greenland High School,,,,57,33,21.06,20.42,20.18,21.70,21.03,1,RV,RV,RV,21,26,5,,30.4,RV,,,,,,,RV,,,,,
7205706,Lincoln New Tech High School,98,,,121,62,20.11,18.65,18.89,19.87,19.55,1,RV,RV,RV,14,12,3,,35.1,RV,,,,,,,RV,,,,,
7206036,Prairie Grove High School,138,,,168,115,20.78,19.91,20.50,20.56,20.62,8,RV,RV,RV,242,399,124,,58,RV,,,,,,,RV,,,,,
7207047,Central Junior High School,,,,,,,,,,,0,RV,RV,RV,42,37,21,,,,,,,,,,,,,,,
7207048,Southwest Junior High School,,,,,,,,,,,,RV,RV,RV,12,,,,,,,,,,,,,,,,,
7207049,Springdale High School,,,,281,330,20.78,19.23,19.74,20.35,20.22,17,571.00,600.00,541.00,676,834,255,450,40.8,,,,,,,,,,,,,
7207060,George Junior High School,,,,,,,,,,,,RV,RV,RV,22,,,,,,,,,,,,,,,,,
7207062,Har-Ber High School,,,,378,369,23.04,22.21,21.78,22.52,22.58,25,562.00,575.00,554.00,887,1480,667,,56.8,,,,,,,,,,,,,
7207070,Lakeside Junior High School,,,,,,,,,,,,RV,RV,RV,13,,,,,,,,,,,,,,,,,
7208062,West Fork High School,,,,56,46,21.65,21.63,20.17,21.11,21.30,0,RV,RV,RV,59,75,24,,43.6,RV,,,,,,,RV,,,,,
7240703,Haas Hall Academy             ,,,,128,66,28.05,28.47,25.77,26.26,27.27,23,644.00,623.00,614.00,174,360,261,,65.2,RV,,,,,,,RV,,,,,
7301003,Bald Knob High School,,,,85,67,21.85,21.21,20.36,20.97,21.22,0,RV,RV,RV,42,63,5,,47.8,RV,,,,,,,RV,,,,,
7302010,Beebe High School,182,,,236,190,21.27,19.73,20.01,21.07,20.67,5,RV,RV,RV,141,253,132,,47.1,,,,,,,,,,,,,
7303015,Bradford High School,,,,21,18,22.17,18.94,19.39,21.28,20.50,0,RV,RV,RV,14,10,1,,37.5,RV,,RV,,,,,RV,,RV,,,
7304019,White Co. Central High School,41,,,48,36,19.11,16.61,17.11,19.08,18.08,0,RV,RV,RV,14,11,1,,53.8,RV,,,,,,,RV,,,,,
7307032,Riverview High School,,,,43,97,19.19,17.97,18.29,19.01,18.75,1,RV,RV,RV,57,112,12,,37.2,,,,,,,,,,,,,
7309039,Pangburn High School,,,,49,31,21.42,20.32,19.84,20.61,20.74,0,RV,RV,RV,33,31,6,,50,RV,,,,,,,RV,,,,,
7310043,Rose Bud High School,,,,31,40,23.70,21.98,20.25,22.68,22.18,1,RV,RV,RV,38,40,6,,49.2,RV,,,,,,,RV,,,,,
7311052,Searcy High School,,,,284,210,23.93,23.45,22.64,22.93,23.42,14,564.00,577.00,538.00,244,437,146,,53.4,,,,,,,,,,,,,
7401003,Augusta High School,,,,11,15,17.80,15.73,18.13,18.20,17.40,0,RV,RV,RV,14,16,3,,37.8,,,RV,,,,,,,RV,,,
7403013,McCrory High School,,,,28,26,22.81,21.81,21.85,21.92,22.19,0,RV,RV,RV,34,59,2,,58.7,,,RV,,,,,,,RV,,,
7503006,Danville High School,,,,49,42,19.31,17.10,17.88,18.62,18.33,1,RV,RV,RV,39,40,6,,48.2,RV,,,,,,,RV,,,,,
7504011,Dardanelle High School,,,,71,70,23.64,22.40,21.80,22.77,22.80,0,RV,RV,RV,95,175,33,,57.7,,,,,,,,,,,,,
7509033,Western Yell Co. High School,,,,24,27,21.89,20.85,20.96,21.07,21.44,0,RV,RV,RV,29,25,0,,45.8,RV,,,,,,,RV,,,,,
7510019,Two Rivers High School,40,,,51,52,20.15,18.58,18.29,19.56,19.29,1,RV,RV,RV,22,20,1,,36.4,RV,,,,,,,RV,,,,,